,Account,Amount,Category,Date,Description,Memo,Original Description,Parent Category,Pending,Tags,Type
185,Business Savings,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
186,LOC Loan,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
187,MasterCard,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
188,Auto Loan,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
189,CD %%% Account,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
190,Home Loan,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
191,MasterCard,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
192,LOC Loan,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
193,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
194,Personal Checking,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
195,Business Savings,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
196,Auto Loan,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
197,Personal Savings,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
198,Business CheckingBusiness Checking,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
199,401K Account,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
200,Visa,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
201,CD %%% Account,250,Service Fee,2018-09-14,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
202,Visa,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
203,Business Savings,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
204,Personal Savings,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
205,Auto Loan,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
206,401K Account,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
207,MasterCard,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
208,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
209,Home Loan,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
210,CD %%% Account,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
211,Business CheckingBusiness Checking,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
212,Personal Checking,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
213,LOC Loan,250,Service Fee,2018-09-10,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
214,MasterCard,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
215,CD %%% Account,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
216,Auto Loan,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
217,Personal Checking,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
218,Business Savings,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
219,LOC Loan,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
220,Business CheckingBusiness Checking,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
221,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
222,Visa,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
223,Personal Savings,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
224,401K Account,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
225,Home Loan,250,Service Fee,2018-09-03,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
238,Personal Savings,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
239,401K Account,230,Investments,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Investments,False,,Debit
240,Home Loan,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
241,Visa,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
242,Business Savings,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
243,Personal Checking,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
244,Auto Loan,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
245,4_D_D_Checking Account4_D_D_Checking Account,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
246,CD %%% Account,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
247,Business CheckingBusiness Checking,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
248,MasterCard,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
249,LOC Loan,230,Uncategorized,2018-09-01,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
250,4_D_D_Checking Account4_D_D_Checking Account,240,Uncategorized,2018-08-31,#1001,,Withdrawal5,Uncategorized,False,,Debit
251,Personal Checking,240,Uncategorized,2018-08-31,#1001,,Withdrawal5,Uncategorized,False,,Debit
252,Business CheckingBusiness Checking,240,Uncategorized,2018-08-31,#1001,,Withdrawal5,Uncategorized,False,,Debit
253,CD %%% Account,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
254,MasterCard,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
255,Business Savings,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
256,Auto Loan,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
257,Personal Savings,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
258,LOC Loan,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
259,Visa,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
260,Home Loan,240,Uncategorized,2018-08-31,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
261,401K Account,240,Investments,2018-08-31,Withdrawal5,,Withdrawal5,Investments,False,,Debit
274,MasterCard,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
275,Personal Checking,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
276,Auto Loan,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
277,Business CheckingBusiness Checking,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
278,LOC Loan,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
279,Home Loan,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
280,Visa,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
281,Business Savings,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
282,CD %%% Account,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
283,401K Account,290,Investments,2018-08-29,Automatic Debit,,Automatic Debit5,Investments,False,,Debit
284,4_D_D_Checking Account4_D_D_Checking Account,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
285,Personal Savings,290,Auto & Transport,2018-08-29,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
298,4_D_D_Checking Account4_D_D_Checking Account,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
299,Home Loan,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
300,Visa,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
301,MasterCard,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
302,CD %%% Account,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
303,Auto Loan,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
304,401K Account,300,Investments,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Investments,False,,Debit
305,Business CheckingBusiness Checking,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
306,Personal Savings,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
307,LOC Loan,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
308,Business Savings,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
309,Personal Checking,300,Uncategorized,2018-08-26,Insufficient Funds Charge,,Insufficient Funds Charge5,Uncategorized,False,,Debit
310,CD %%% Account,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
311,Personal Checking,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
312,Home Loan,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
313,Auto Loan,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
314,Business Savings,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
315,LOC Loan,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
316,MasterCard,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
317,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
318,Personal Savings,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
319,Business CheckingBusiness Checking,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
320,401K Account,250,Investments,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Investments,False,,Debit
321,Visa,250,Service Fee,2018-08-24,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
334,CD %%% Account,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
335,MasterCard,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
336,LOC Loan,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
337,Business CheckingBusiness Checking,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
338,Visa,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
339,401K Account,230,Investments,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Investments,False,,Debit
340,Personal Savings,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
341,4_D_D_Checking Account4_D_D_Checking Account,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
342,Home Loan,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
343,Auto Loan,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
344,Personal Checking,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
345,Business Savings,230,Uncategorized,2018-08-22,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
346,Personal Checking,240,Uncategorized,2018-08-21,#1001,,Withdrawal5,Uncategorized,False,,Debit
347,4_D_D_Checking Account4_D_D_Checking Account,240,Uncategorized,2018-08-21,#1001,,Withdrawal5,Uncategorized,False,,Debit
348,Business CheckingBusiness Checking,240,Uncategorized,2018-08-21,#1001,,Withdrawal5,Uncategorized,False,,Debit
349,Personal Savings,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
350,LOC Loan,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
351,Auto Loan,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
352,Visa,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
353,CD %%% Account,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
354,401K Account,240,Investments,2018-08-21,Withdrawal5,,Withdrawal5,Investments,False,,Debit
355,Business Savings,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
356,Home Loan,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
357,MasterCard,240,Uncategorized,2018-08-21,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
358,Home Loan,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
359,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
360,401K Account,250,Investments,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Investments,False,,Debit
361,Business Savings,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
362,CD %%% Account,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
363,Visa,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
364,LOC Loan,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
365,Personal Savings,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
366,Business CheckingBusiness Checking,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
367,Personal Checking,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
368,MasterCard,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
369,Auto Loan,250,Service Fee,2018-08-19,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
370,Personal Savings,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
371,Home Loan,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
372,MasterCard,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
373,CD %%% Account,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
374,LOC Loan,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
375,Visa,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
376,Personal Checking,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
377,Business CheckingBusiness Checking,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
378,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
379,Auto Loan,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
380,Business Savings,250,Service Fee,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
381,401K Account,250,Investments,2018-08-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Investments,False,,Debit
394,401K Account,230,Investments,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Investments,False,,Debit
395,Personal Savings,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
396,Business CheckingBusiness Checking,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
397,Personal Checking,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
398,4_D_D_Checking Account4_D_D_Checking Account,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
399,LOC Loan,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
400,MasterCard,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
401,Home Loan,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
402,Visa,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
403,CD %%% Account,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
404,Auto Loan,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
405,Business Savings,230,Uncategorized,2018-08-15,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
406,4_D_D_Checking Account4_D_D_Checking Account,240,Uncategorized,2018-08-14,#1001,,Withdrawal5,Uncategorized,False,,Debit
407,Personal Checking,240,Uncategorized,2018-08-14,#1001,,Withdrawal5,Uncategorized,False,,Debit
408,Business CheckingBusiness Checking,240,Uncategorized,2018-08-14,#1001,,Withdrawal5,Uncategorized,False,,Debit
409,MasterCard,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
410,Auto Loan,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
411,Personal Savings,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
412,401K Account,240,Investments,2018-08-14,Withdrawal5,,Withdrawal5,Investments,False,,Debit
413,Business Savings,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
414,Home Loan,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
415,CD %%% Account,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
416,LOC Loan,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
417,Visa,240,Uncategorized,2018-08-14,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
430,Business CheckingBusiness Checking,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
431,MasterCard,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
432,401K Account,250,Investments,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Investments,False,,Debit
433,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
434,Personal Savings,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
435,Visa,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
436,Business Savings,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
437,Home Loan,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
438,Auto Loan,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
439,Personal Checking,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
440,CD %%% Account,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
441,LOC Loan,250,Service Fee,2018-08-12,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
454,Business Savings,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
455,LOC Loan,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
456,Home Loan,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
457,401K Account,230,Investments,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Investments,False,,Debit
458,4_D_D_Checking Account4_D_D_Checking Account,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
459,Auto Loan,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
460,Visa,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
461,Business CheckingBusiness Checking,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
462,Personal Savings,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
463,Personal Checking,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
464,CD %%% Account,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
465,MasterCard,230,Uncategorized,2018-08-10,Insufficient Funds Charge,,Insufficient Funds Charge4,Uncategorized,False,,Debit
466,Personal Checking,240,Uncategorized,2018-08-09,#1001,,Withdrawal5,Uncategorized,False,,Debit
467,4_D_D_Checking Account4_D_D_Checking Account,240,Uncategorized,2018-08-09,#1001,,Withdrawal5,Uncategorized,False,,Debit
468,Business CheckingBusiness Checking,240,Uncategorized,2018-08-09,#1001,,Withdrawal5,Uncategorized,False,,Debit
469,401K Account,240,Investments,2018-08-09,Withdrawal5,,Withdrawal5,Investments,False,,Debit
470,Visa,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
471,CD %%% Account,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
472,LOC Loan,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
473,Home Loan,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
474,Personal Savings,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
475,MasterCard,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
476,Auto Loan,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
477,Business Savings,240,Uncategorized,2018-08-09,Withdrawal5,,Withdrawal5,Uncategorized,False,,Debit
490,Auto Loan,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
491,Business Savings,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
492,MasterCard,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
493,LOC Loan,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
494,Visa,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
495,Business CheckingBusiness Checking,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
496,401K Account,290,Investments,2018-08-07,Automatic Debit,,Automatic Debit5,Investments,False,,Debit
497,Personal Savings,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
498,4_D_D_Checking Account4_D_D_Checking Account,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
499,Home Loan,290,Auto & Transport,2018-08-07,Automatic Debit,,Automatic Debit5,Auto & Transport,False,,Debit
